client,purchase_date,product,price
Sean Davis,2022-08-10,Laptop,957
Sean Davis,2022-08-10,Phone,1139
Jonathan Briggs,2022-08-10,Microwave oven,205
Ashley Smith,2022-08-10,TV,1554
Taylor Hines,2022-08-10,Laptop,2751
Robert Mclean,2022-08-10,coffee machine,675
Katie Nguyen,2022-08-10,coffee machine,513
Antonio Cohen,2022-08-10,coffee machine,645
Elizabeth Jackson,2022-08-10,Phone,1415
Daniel Holder,2022-08-10,TV,1220
Michael Myers,2022-08-10,TV,1697
Ryan Reynolds,2022-08-10,Phone,1124
Kevin Bradley,2022-08-10,Laptop,637
Colin Harris,2022-08-10,Laptop,3025
Mary Adams,2022-08-10,Vacuum cleaner,511
Donna Travis,2022-08-10,Laptop,1912
Alan Gilbert,2022-08-10,TV,1578
Darryl Johnson,2022-08-10,Laptop,1271
Miguel Snow,2022-08-10,Microwave oven,321
Phillip Rogers,2022-08-10,coffee machine,459
Shelly Trevino,2022-08-10,TV,594
Mary Sexton,2022-08-10,Laptop,3126
Nathaniel Coffey,2022-08-10,Laptop,1027
Darren Joyce,2022-08-10,TV,1671
Anthony Hoffman,2022-08-10,coffee machine,638
Brenda Curtis,2022-08-10,coffee machine,3193
David Montgomery,2022-08-10,Microwave oven,135
Billy Tate,2022-08-10,coffee machine,2662
Jeffrey Tapia,2022-08-10,TV,2251
Danielle Kline,2022-08-10,Microwave oven,119
Derrick Chen,2022-08-10,Microwave oven,362
Kenneth Harris,2022-08-10,Phone,395
Kelly Small,2022-08-10,Laptop,2290
Nicole Howell,2022-08-10,Vacuum cleaner,155
Sandra Armstrong,2022-08-10,TV,1133
Lori Scott,2022-08-10,Vacuum cleaner,266
Alan Kemp,2022-08-10,Microwave oven,191
Brandy Cooper,2022-08-10,Microwave oven,422
