client,purchase_date,product,price
Mary Miller,2022-08-10,Phone,919
Susan Reed,2022-08-10,TV,513
Kathleen Mclaughlin,2022-08-10,TV,1649
Pamela Fisher,2022-08-10,Laptop,2795
Brian Baxter,2022-08-10,Phone,729
John Curtis,2022-08-10,Phone,682
Lisa Torres,2022-08-10,Laptop,2956
Rachel Harris,2022-08-10,Laptop,542
Kevin Cooke,2022-08-10,Phone,736
Ronald Lutz,2022-08-10,Vacuum cleaner,99
Billy Lewis,2022-08-10,TV,1698
Jonathan Taylor,2022-08-10,TV,1031
Russell Hayes,2022-08-10,TV,515
Gabriela Maldonado,2022-08-10,Vacuum cleaner,197
Gloria Costa,2022-08-10,Laptop,2224
Jill Fisher,2022-08-10,Phone,1399
Charles Holt,2022-08-10,Vacuum cleaner,637
Samuel Cobb,2022-08-10,Laptop,2116
Joshua Johnson,2022-08-10,Phone,1139
Joshua Johnson,2022-08-10,Microwave oven,418
Kayla Blackwell,2022-08-10,Laptop,3333
Tina Church,2022-08-10,TV,770
Joshua Arellano,2022-08-10,Phone,1308
John Burns,2022-08-10,TV,1527
Christopher Turner,2022-08-10,Phone,609
Jose Gonzalez,2022-08-10,Microwave oven,342
Cynthia Casey,2022-08-10,Laptop,892
Cynthia Casey,2022-08-10,Laptop,3380
Kelly Washington,2022-08-10,Phone,841
Timothy Shaffer,2022-08-10,Vacuum cleaner,170
Whitney Gutierrez,2022-08-10,Microwave oven,386
Mark Farrell,2022-08-10,TV,1795
Jose Oliver,2022-08-10,TV,1074
Troy Mccullough,2022-08-10,TV,1340
Brandon Morris,2022-08-10,Vacuum cleaner,582
Jose Price,2022-08-10,Microwave oven,581
Melissa Brown,2022-08-10,Vacuum cleaner,432
Harold Vazquez,2022-08-10,coffee machine,4287
Melissa Hartman,2022-08-10,Microwave oven,128
Michaela Warren,2022-08-10,Laptop,3115
Michael Perry,2022-08-10,Phone,1320
David Dickerson,2022-08-10,Microwave oven,452
Vernon Rodriguez,2022-08-10,coffee machine,911
Christopher Watson,2022-08-10,Phone,981
William Hurst,2022-08-10,Phone,952
Kathryn Hampton,2022-08-10,Vacuum cleaner,289
Jerry Gilbert,2022-08-10,Laptop,1247
Natasha Butler,2022-08-10,Microwave oven,354
Curtis Alvarado,2022-08-10,Microwave oven,509
Julia Clark,2022-08-10,Laptop,605
Steven Jackson,2022-08-10,Microwave oven,583
David Ramos,2022-08-10,Phone,535
Jennifer Suarez,2022-08-10,TV,990
Dean Nelson,2022-08-10,coffee machine,1521
Anthony Campbell,2022-08-10,TV,1196
Carrie Owens,2022-08-10,Phone,391
Samantha Rogers,2022-08-10,Phone,550
Kevin Burke,2022-08-10,Laptop,583
Heather Anderson,2022-08-10,Phone,1395
Mark Rosales,2022-08-10,Phone,541
Derek Solis,2022-08-10,Vacuum cleaner,767
Betty Brooks,2022-08-10,Laptop,3121
Barbara Bowen,2022-08-10,Microwave oven,491
Shawn Brooks,2022-08-10,Phone,200
Daniel Cross,2022-08-10,TV,1484
Tricia Robertson,2022-08-10,Phone,267
Melissa Harper,2022-08-10,Microwave oven,555
Carl Wilson,2022-08-10,Vacuum cleaner,303
Michael Herrera,2022-08-10,Microwave oven,338
Scott Porter,2022-08-10,coffee machine,2094
Emma Christian,2022-08-10,Laptop,2792
Sean Chavez,2022-08-10,Microwave oven,402
Jeff Hernandez,2022-08-10,Phone,575
Jerry Johnson,2022-08-10,Phone,1402
Gail Franklin,2022-08-10,Vacuum cleaner,106
David Parsons,2022-08-10,Vacuum cleaner,604
Donald Pineda,2022-08-10,Vacuum cleaner,364
Roger Faulkner,2022-08-10,Vacuum cleaner,665
Kimberly Phillips,2022-08-10,Phone,970
Rita Pennington,2022-08-10,Phone,1439
Kristina Ramirez,2022-08-10,Phone,526
Jeffrey Singleton,2022-08-10,Microwave oven,165
Cynthia Stone,2022-08-10,TV,1126
Johnny Short,2022-08-10,Microwave oven,525
Stephanie Dalton,2022-08-10,Vacuum cleaner,450
Stacey Mcgrath,2022-08-10,Laptop,1736
Amanda Padilla,2022-08-10,Phone,532
Deanna Castillo,2022-08-10,coffee machine,1802
Brandy Watson,2022-08-10,Phone,1373
Amy Hughes,2022-08-10,TV,2226
Megan Arnold,2022-08-10,Vacuum cleaner,137
Alison Chambers,2022-08-10,Microwave oven,255
Michael Daniels,2022-08-10,Microwave oven,341
Jennifer Rubio,2022-08-10,Laptop,2247
Angela Melton,2022-08-10,Laptop,2082
Ronald Morales,2022-08-10,Microwave oven,104
Tom Ryan,2022-08-10,Phone,1040
Kaitlin Hanson,2022-08-10,Microwave oven,329
Alyssa Tucker,2022-08-10,Laptop,3467
Kaitlyn Hurst,2022-08-10,TV,1248
